,weight,total_gross_income,pitax,table_row
122134,364.9359822012769,0.0,0.0,1
39878,427.60175692270826,0.0,0.0,1
159912,333.6030948405612,0.0,0.0,1
159923,296.7408744161898,0.0,0.0,1
159933,313.32887360715694,0.0,0.0,1
14858,506.8555308351068,0.0,0.0,1
122132,364.9359822012769,0.0,0.0,1
64622,1210.9239409406007,0.0,0.0,1
122128,364.9359822012769,0.0,0.0,1
14876,659.833745596248,0.0,0.0,1
91571,646.9319684477182,0.0,0.0,1
91567,733.5581864449908,0.0,0.0,1
75876,1150.1012772403878,0.0,0.0,1
91528,678.2648558084338,0.0,0.0,1
122199,217.48710050379125,0.0,0.0,1
91554,720.656409296461,0.0,0.0,1
39856,1773.0728024122643,0.0,0.0,1
91560,733.5581864449908,0.0,0.0,1
39861,1773.0728024122643,0.0,0.0,1
159843,374.1515373073697,0.0,0.0,1
